episode,step,action_id,action,level,x,y,vx,vy,score,reward,event,cause,lives,coins
1,130,17,RUN+RIGHT+JUMP+FIRE,1,4.29,12.32,0.82,3.58,10,0.0241,,,3,1
1,131,13,JUMP+FIRE,1,4.31,12.63,0.47,7.03,10,0.0236,,,3,1
1,132,17,RUN+RIGHT+JUMP+FIRE,1,4.36,13.06,1.26,10.31,10,0.0229,,,3,1
1,133,13,JUMP+FIRE,1,4.4,13.64,0.93,13.6,10,0.0227,,,3,1
1,134,13,JUMP+FIRE,1,4.43,14.34,0.59,17.0,10,0.0217,,,3,1
1,135,13,JUMP+FIRE,1,4.44,15.1,0.25,17.19,10,0.0187,,,3,1
1,136,13,JUMP+FIRE,1,4.45,15.88,0.0,17.19,10,0.0207,,,3,1
1,137,13,JUMP+FIRE,1,4.45,15.63,0.0,-16.38,10,0.0172,,,3,1
1,138,9,RUN+LEFT+JUMP,1,4.42,14.94,-0.85,-14.75,10,0.018,,,3,1
1,139,13,JUMP+FIRE,1,4.39,14.33,-0.5,-13.14,10,0.018,,,3,1
1,140,13,JUMP+FIRE,1,4.38,13.81,-0.17,-11.6,10,0.019,,,3,1
1,141,13,JUMP+FIRE,1,4.38,13.34,0.0,-9.99,10,0.019,,,3,1
1,142,13,JUMP+FIRE,1,4.38,12.98,0.0,-8.46,10,0.0199,,,3,1
1,143,13,JUMP+FIRE,1,4.38,12.68,0.0,-6.91,10,0.0199,,,3,1
1,144,13,JUMP+FIRE,1,4.38,12.45,0.0,-5.35,10,0.0199,,,3,1
1,145,13,JUMP+FIRE,1,4.38,12.29,0.0,-3.81,10,0.0199,,,3,1
1,146,13,JUMP+FIRE,1,4.38,12.19,0.0,-2.23,10,0.0199,,,3,1
1,147,13,JUMP+FIRE,1,4.38,12.16,0.0,-0.66,10,0.0199,,,3,1
1,148,17,RUN+RIGHT+JUMP+FIRE,1,4.42,12.21,0.87,1.01,10,0.0249,,,3,1
1,149,13,JUMP+FIRE,1,4.44,12.4,0.53,4.41,10,0.0238,,,3,1
1,150,17,RUN+RIGHT+JUMP+FIRE,1,4.5,12.75,1.37,7.9,10,0.024,,,3,1
1,151,13,JUMP+FIRE,1,4.55,13.25,1.02,11.34,10,0.0228,,,3,1
1,152,13,JUMP+FIRE,1,4.58,13.87,0.68,14.83,10,0.0226,,,3,1
1,153,13,JUMP+FIRE,1,4.6,14.59,0.34,17.19,10,0.0216,,,3,1
1,154,13,JUMP+FIRE,1,4.61,15.29,0.02,17.19,10,0.0207,,,3,1
1,155,13,JUMP+FIRE,1,4.61,16.0,0.0,0.0,10,0.0162,,,3,1
1,156,9,RUN+LEFT+JUMP,1,4.47,15.32,-3.23,-15.72,10,0.0172,,,3,1
1,157,13,JUMP+FIRE,1,4.34,14.72,-2.91,-14.25,10,0.018,,,3,1
1,158,13,JUMP+FIRE,1,4.23,14.15,-2.56,-12.67,10,0.018,,,3,1
1,159,13,JUMP+FIRE,1,4.13,13.66,-2.23,-11.15,10,0.019,,,3,1
1,160,13,JUMP+FIRE,1,4.04,13.23,-1.88,-9.56,10,0.019,,,3,1
